,Date,Value,Sentiment,Tweet
14,2017-01-12,742.7374960000001,0.9246,"@JRMYGRNBRGR Hopefully, early next week. Results from limited release look good so far. Trying our best to be super careful."
26,2017-01-23,804.4700045,0.7351,"@stephenstohn Yes, safety should improve significantly due to autonomy features, even if regs disallow no driver present"
28,2017-01-24,818.1024972499999,0.7501,"@danahull Rex is an exceptionally competent executive, understands geopolitics and knows how to win for his team. His team is now the USA."
30,2017-01-25,831.18749225,0.7184,Exciting progress on the tunnel front. Plan to start digging in a month or so.
36,2017-01-30,817.5774992500001,0.7096,"@ReesAndersen @FLIxrisk Yes, I believe that is critical to ensure a good future for humanity"
37,2017-01-30,817.5774992500001,0.9538,"@inhaleray I agree with creating great jobs, restoring US strength as a great manufacturer of products and anything? https://t.co/2LwDBDLeO0"
62,2017-02-15,908.6199945000001,0.765,"In appreciation, Tesla is providing all repair costs free of charge and expedited. https://t.co/D68HNJcCoQ"
64,2017-02-16,893.337509,0.8734,"Ok, what are some good ones? Will have to meter these out. Hopefully, kids can't die from groaning too much."
65,2017-02-16,893.337509,0.8803,"@Floydilicious Yeah, awesome achievement by ISRO. Very impressive!"
84,2017-03-02,813.880009,0.9215,Thank you for the lovely letter. That sounds like a great idea. We'll do it! https://t.co/ss2WmkOGyk
88,2017-03-06,809.92249775,0.7118,Thanks JJ!
104,2017-03-16,852.722489,0.7269,"@CapnJesus @Lurpatron @MKBHD @jakerawr 3 is a great car, but definitely Model S"
110,2017-03-22,820.8924999999999,0.8955,RT @ryanrossuk: @elonmusk Hope you like my Model X customer story. You're something of a hero of mine. Never give up and thank you! https:/?
112,2017-03-24,840.3899999999999,0.8937,"RT @PokerVixen: @elonmusk I'm so unbelievably happy with my Model S. When people ask if l like it I respond No, I love it! ? it's amazing!?"
113,2017-03-24,840.3899999999999,0.8176,"RT @RH_Way: @elonmusk Our 85 hit the guardrails at well over 160km/h. Tessi absorbed impact, wife and baby are ok. Best car ever & Member o?"
114,2017-03-24,840.3899999999999,0.7184,"@dr_angus Yeah, probably a year from now. S will still win on acceleration though, due to having more space for a larger battery."
115,2017-03-24,840.3899999999999,0.7901,RT @arctechinc: @elonmusk we believe so much in Tesla and its goals we have a 100D Model S and 90D Model X and love both. Thank you! https:?
116,2017-03-24,840.3899999999999,0.7941,RT @Herifin_teki: @elonmusk My lil monster Tesla Model X is the best car I've ever used. Thank you Elon. ??
117,2017-03-24,840.3899999999999,0.9186,"@aaronpaul_8 I used to be one. You're welcome. Trying my best, at least. Hope it's a bit useful."
